sensor_frame_index,sensor_timestamp,actual_exposure_us,requested_exposure_us,analogue_gain,stream,output_frame_index,pts_ms,elapsed_ms,frame_unix_ms,recording_start_iso8601,frame_time_iso8601,mean_luma
66,14909993843000,9992.0,10000,1.00,A,19,1236.507,1236.507,1789131957527.133,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.527133+04:00,84.1
67,14910007736000,9992.0,10000,1.00,A,20,1250.400,1250.400,1789131957541.026,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.541026+04:00,84.1
68,14910021631000,994.0,1000,1.00,B,18,1264.295,1264.295,1789131957554.921,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.554921+04:00,15.6
69,14910035524000,994.0,1000,1.00,B,19,1278.188,1278.188,1789131957568.814,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.568814+04:00,15.6
70,14910049417000,994.0,1000,1.00,B,20,1292.081,1292.081,1789131957582.707,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.582707+04:00,15.6
71,14910063311000,9992.0,10000,1.00,A,21,1305.975,1305.975,1789131957596.601,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.596601+04:00,84.2
72,14910077203000,9992.0,10000,1.00,A,22,1319.867,1319.867,1789131957610.493,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.610493+04:00,84.3
73,14910091097000,9992.0,10000,1.00,A,23,1333.761,1333.761,1789131957624.387,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.624387+04:00,84.3
74,14910104991000,994.0,1000,1.00,B,21,1347.655,1347.655,1789131957638.281,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.638281+04:00,15.7
75,14910118884000,994.0,1000,1.00,B,22,1361.548,1361.548,1789131957652.174,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.652174+04:00,15.7
76,14910132777000,994.0,1000,1.00,B,23,1375.441,1375.441,1789131957666.067,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.666067+04:00,15.7
77,14910146671000,9992.0,10000,1.00,A,24,1389.335,1389.335,1789131957679.961,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.679961+04:00,84.5
78,14910160564000,9992.0,10000,1.00,A,25,1403.228,1403.228,1789131957693.854,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.693854+04:00,84.5
79,14910174457000,9992.0,10000,1.00,A,26,1417.121,1417.121,1789131957707.747,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.707747+04:00,84.5
80,14910188351000,994.0,1000,1.00,B,24,1431.015,1431.015,1789131957721.641,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.721641+04:00,15.8
81,14910202244000,994.0,1000,1.00,B,25,1444.908,1444.908,1789131957735.534,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.735534+04:00,15.8
82,14910216137000,994.0,1000,1.00,B,26,1458.801,1458.801,1789131957749.427,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.749427+04:00,15.8
83,14910230032000,9992.0,10000,1.00,A,27,1472.696,1472.696,1789131957763.322,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.763322+04:00,84.6
84,14910243924000,9992.0,10000,1.00,A,28,1486.588,1486.588,1789131957777.214,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.777214+04:00,84.6
85,14910257817000,9992.0,10000,1.00,A,29,1500.481,1500.481,1789131957791.107,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.791107+04:00,84.6
86,14910271712000,994.0,1000,1.00,B,27,1514.376,1514.376,1789131957805.002,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.805002+04:00,15.8
87,14910285604000,994.0,1000,1.00,B,28,1528.268,1528.268,1789131957818.894,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.818894+04:00,15.8
88,14910299498000,994.0,1000,1.00,B,29,1542.162,1542.162,1789131957832.788,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.832788+04:00,15.8
89,14910313392000,9992.0,10000,1.00,A,30,1556.056,1556.056,1789131957846.682,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.846682+04:00,84.6
90,14910327284000,9992.0,10000,1.00,A,31,1569.948,1569.948,1789131957860.574,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.860574+04:00,84.7
91,14910341178000,9992.0,10000,1.00,A,32,1583.842,1583.842,1789131957874.468,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.874468+04:00,84.7
92,14910355072000,994.0,1000,1.00,B,30,1597.736,1597.736,1789131957888.362,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.888362+04:00,15.8
93,14910368965000,994.0,1000,1.00,B,31,1611.629,1611.629,1789131957902.255,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.902255+04:00,15.8
94,14910382858000,994.0,1000,1.00,B,32,1625.522,1625.522,1789131957916.148,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.916148+04:00,15.8
95,14910396753000,9992.0,10000,1.00,A,33,1639.417,1639.417,1789131957930.043,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.930043+04:00,84.9
96,14910410645000,9992.0,10000,1.00,A,34,1653.309,1653.309,1789131957943.935,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.943935+04:00,85.0
97,14910424539000,9992.0,10000,1.00,A,35,1667.203,1667.203,1789131957957.829,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.957829+04:00,85.0
