session_id,sequence_id,sample_id,sample_source,timestamp_seconds,unity_frame,left_device_id,left_is_tracked,left_tracking_state,left_pose_valid,left_px,left_py,left_pz,left_qx,left_qy,left_qz,left_qw,right_device_id,right_is_tracked,right_tracking_state,right_pose_valid,right_px,right_py,right_pz,right_qx,right_qy,right_qz,right_qw,pair_valid
20260911_130547_284_P01,seq_0001,2270,BeforeRender,63.116939304,4455,67,1,15,1,-1.54971671,-0.0446035825,-0.475080758,-0.195370704,0.0567084104,0.230018899,-0.951685727,68,1,15,1,-1.66484296,0.0886084139,-0.328667969,0.347060949,0.374199748,-0.644667864,0.56914556,1
20260911_130547_284_P01,seq_0001,2271,BeforeRender,63.130912804,4456,67,1,15,1,-1.55110586,-0.0358748883,-0.47675699,-0.264681935,0.106345922,0.23266308,-0.929785967,68,1,15,1,-1.66589272,0.0930888504,-0.327480435,0.346502006,0.365989983,-0.664575994,0.551657915,1
20260911_130547_284_P01,seq_0001,2272,BeforeRender,63.144743204,4457,67,1,15,1,-1.54982018,-0.0328605026,-0.47686255,-0.304888904,0.136615008,0.216419235,-0.917355895,68,1,15,1,-1.66945827,0.0970803946,-0.329009712,0.352832258,0.359310657,-0.674459398,0.539916456,1
20260911_130547_284_P01,seq_0001,2273,BeforeRender,63.158695604,4458,67,1,15,1,-1.54161179,-0.0311755836,-0.476523519,-0.36546129,0.200642735,0.16135858,-0.894507766,68,1,15,1,-1.67418659,0.0997302979,-0.332250953,0.364066362,0.357882649,-0.676205456,0.531151533,1
20260911_130547_284_P01,seq_0001,2274,BeforeRender,63.172596804,4459,67,1,15,1,-1.53678334,-0.0306345709,-0.477976918,-0.388397008,0.232040539,0.130778253,-0.882157683,68,1,15,1,-1.67701447,0.101129197,-0.33468622,0.37107265,0.359369844,-0.675899506,0.525659919,1
20260911_130547_284_P01,seq_0001,2275,BeforeRender,63.186609004,4460,67,1,15,1,-1.53053248,-0.030882705,-0.482119918,-0.393198788,0.260548294,0.111292303,-0.874713302,68,1,15,1,-1.68173003,0.103420816,-0.339710951,0.377472758,0.365962207,-0.674419343,0.518405795,1
20260911_130547_284_P01,seq_0001,2276,BeforeRender,63.200400104,4461,67,1,15,1,-1.5251261,-0.0315381922,-0.485628247,-0.388549924,0.282372952,0.109408818,-0.870243847,68,1,15,1,-1.68445337,0.105301373,-0.343672991,0.374565542,0.371188074,-0.673915863,0.517453015,1
20260911_130547_284_P01,seq_0001,2277,BeforeRender,63.214456604,4462,67,1,15,1,-1.52317822,-0.0318211168,-0.486691415,-0.387218267,0.290899098,0.110169023,-0.867930055,68,1,15,1,-1.68586135,0.106580086,-0.346407801,0.372757465,0.372377455,-0.675292969,0.516106963,1
20260911_130547_284_P01,seq_0001,2278,BeforeRender,63.228356804,4463,67,1,15,1,-1.5101341,-0.0334515199,-0.489875436,-0.402132899,0.363794953,0.111183971,-0.832814813,68,1,15,1,-1.68769479,0.108806029,-0.351949692,0.369906396,0.382747114,-0.673039436,0.513509452,1
20260911_130547_284_P01,seq_0001,2279,BeforeRender,63.242227404,4464,67,1,15,1,-1.50416291,-0.0350394621,-0.489459366,-0.4248873,0.406848431,0.101915404,-0.802220941,68,1,15,1,-1.68881142,0.109626248,-0.356221974,0.373675525,0.395104766,-0.666005194,0.510583878,1
20260911_130547_284_P01,seq_0001,2280,BeforeRender,63.256100804,4465,67,1,15,1,-1.49975169,-0.0369919948,-0.488497972,-0.449830294,0.443062007,0.086498253,-0.770627677,68,1,15,1,-1.68992651,0.109615117,-0.360464334,0.378881127,0.413550645,-0.653498173,0.508296251,1
20260911_130547_284_P01,seq_0001,2281,BeforeRender,63.270080704,4466,67,1,15,1,-1.49639189,-0.0388326421,-0.487467915,-0.4737598,0.470036298,0.0668985695,-0.74171567,68,1,15,1,-1.69083071,0.109182596,-0.363325089,0.38187331,0.427525789,-0.642169297,0.508933246,1
20260911_130547_284_P01,seq_0001,2282,BeforeRender,63.283983104,4467,67,1,15,1,-1.49142075,-0.0407367796,-0.486625552,-0.504698873,0.492692262,0.0293441601,-0.708288372,68,1,15,1,-1.69213343,0.108261831,-0.3673473,0.381069213,0.449573576,-0.623649418,0.513547897,1
20260911_130547_284_P01,seq_0001,2283,BeforeRender,63.298029804,4468,67,1,15,1,-1.48956585,-0.0410581045,-0.486642718,-0.512527347,0.494285583,0.0152751952,-0.70197165,68,1,15,1,-1.69280946,0.106574766,-0.371501714,0.379815102,0.465855509,-0.611650407,0.514395714,1
20260911_130547_284_P01,seq_0001,2284,BeforeRender,63.311915604,4469,67,1,15,1,-1.48607206,-0.0414169654,-0.487045497,-0.52180469,0.488161385,-0.00917322934,-0.699524283,68,1,15,1,-1.69385064,0.105056316,-0.375129461,0.374205738,0.47984612,-0.600695014,0.518539727,1
20260911_130547_284_P01,seq_0001,2285,BeforeRender,63.325723004,4470,67,1,15,1,-1.4839716,-0.0416601449,-0.487606376,-0.524789214,0.477920204,-0.022604363,-0.704043865,68,1,15,1,-1.69489312,0.103982158,-0.378565609,0.368034601,0.488180816,-0.592555642,0.524507284,1
20260911_130547_284_P01,seq_0001,2286,BeforeRender,63.339631604,4471,67,1,15,1,-1.48453128,-0.0402483605,-0.49071902,-0.538732708,0.455723703,-0.0181372464,-0.708346009,68,1,15,1,-1.69661844,0.104133539,-0.383993775,0.360010266,0.505675018,-0.577373505,0.530400991,1
20260911_130547_284_P01,seq_0001,2287,BeforeRender,63.353562104,4472,67,1,15,1,-1.48435044,-0.0391629934,-0.493980736,-0.549931288,0.428474069,-0.0138228983,-0.71679461,68,1,15,1,-1.69809115,0.104124725,-0.388699323,0.355163306,0.520820141,-0.563277602,0.534157217,1
20260911_130547_284_P01,seq_0001,2288,BeforeRender,63.367542804,4473,67,1,15,1,-1.48354459,-0.0383809693,-0.497247517,-0.558761656,0.3975133,-0.00927338004,-0.727792978,68,1,15,1,-1.69969749,0.103068203,-0.394518524,0.353044152,0.534486949,-0.547039747,0.538916588,1
20260911_130547_284_P01,seq_0001,2289,BeforeRender,63.381315804,4474,67,1,15,1,-1.48132002,-0.0380828381,-0.500489473,-0.564279139,0.360976905,-0.00607439969,-0.742460728,68,1,15,1,-1.70030844,0.101208016,-0.401308745,0.354229361,0.541606128,-0.535991609,0.542123139,1
